Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,position.latitude,position.longitude,position.altitude
1660221920.2834785,131,1660221920,283008098,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221920.37331,132,1660221920,372441053,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221920.4734511,133,1660221920,473006963,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221920.5747147,134,1660221920,573314905,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221920.6742275,135,1660221920,673475027,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221920.7739778,136,1660221920,772491931,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221920.8749669,137,1660221920,874073028,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221920.9769032,138,1660221920,974782943,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221921.0729146,139,1660221921,72249889,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221921.1735532,140,1660221921,172859907,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221921.2765617,141,1660221921,274139881,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221921.3766758,142,1660221921,376290082,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221921.47297,143,1660221921,472662925,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221921.5744326,144,1660221921,574075937,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221921.6764958,145,1660221921,674839973,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221921.7747757,146,1660221921,772916078,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221921.873992,147,1660221921,873634099,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221921.973039,148,1660221921,972810029,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221922.0759275,149,1660221922,75068950,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221922.1749494,150,1660221922,173933982,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221922.2740226,151,1660221922,273644924,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221922.3766096,152,1660221922,376013994,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221922.4742284,153,1660221922,473911046,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221922.5732324,154,1660221922,572714090,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221922.6755316,155,1660221922,672964096,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221922.7757294,156,1660221922,774486064,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221922.87463,157,1660221922,873461961,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221922.975441,158,1660221922,975109100,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221923.074666,159,1660221923,74182033,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221923.1728961,160,1660221923,172226905,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221923.2745357,161,1660221923,273631095,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221923.3848095,162,1660221923,384427070,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221923.4724312,163,1660221923,472105026,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221923.5736992,164,1660221923,573024988,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221923.674546,165,1660221923,673741102,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221923.7808316,166,1660221923,779696941,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221923.8739774,167,1660221923,873187065,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221923.9744632,168,1660221923,973819971,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221924.074366,169,1660221924,74003934,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221924.1741986,170,1660221924,173170089,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221924.2763906,171,1660221924,275461912,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221924.3758335,172,1660221924,374000072,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221924.4746952,173,1660221924,474313974,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221924.5748155,174,1660221924,573447942,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221924.6742496,175,1660221924,673552989,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221924.7732625,176,1660221924,772418975,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221924.8739755,177,1660221924,872875928,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221924.9739726,178,1660221924,973309040,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221925.073418,179,1660221925,73015928,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221925.1750243,180,1660221925,173357963,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221925.2754683,181,1660221925,273654937,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221925.3728766,182,1660221925,372514963,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221925.4762645,183,1660221925,475960969,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221925.5730886,184,1660221925,572706937,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221925.6803544,185,1660221925,679480075,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221925.7750285,186,1660221925,773607969,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221925.873675,187,1660221925,873207092,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221925.9742477,188,1660221925,973860979,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221926.0772378,189,1660221926,76494932,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221926.1741686,190,1660221926,173324108,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221926.2737632,191,1660221926,272602081,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221926.373891,192,1660221926,373116016,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221926.474007,193,1660221926,473612070,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221926.5753999,194,1660221926,574615955,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221926.6743302,195,1660221926,673697948,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221926.773847,196,1660221926,772847890,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221926.878386,197,1660221926,877476930,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221926.973974,198,1660221926,973613023,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221927.0734582,199,1660221927,72652101,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221927.1752133,200,1660221927,173562049,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221927.2730372,201,1660221927,272250890,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221927.3739808,202,1660221927,373336076,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221927.4770453,203,1660221927,476717948,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221927.5741644,204,1660221927,573245048,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221927.674478,205,1660221927,673805952,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221927.7733629,206,1660221927,772625923,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221927.877667,207,1660221927,877301931,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221927.9749618,208,1660221927,974242925,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221928.073863,209,1660221928,72953939,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221928.1740198,210,1660221928,173526048,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221928.275165,211,1660221928,274736881,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221928.377991,212,1660221928,377032041,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221928.472216,213,1660221928,471971035,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221928.572911,214,1660221928,572278022,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221928.6734574,215,1660221928,673158884,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221928.7780504,216,1660221928,777781009,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221928.8760326,217,1660221928,875375032,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221928.975894,218,1660221928,975635051,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221929.0735598,219,1660221929,73009967,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221929.174341,220,1660221929,174041032,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221929.2785237,221,1660221929,278229951,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221929.3781533,222,1660221929,377592086,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221929.474971,223,1660221929,474642992,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221929.5774944,224,1660221929,576072931,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221929.6757076,225,1660221929,675023078,,-2.1211356453528936,-2.0610576047509426,-1.0
1660221929.7804058,226,1660221929,779438018,,-2.1211356453528936,-2.0610576047509426,-1.0
