Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,lat,lon,x,y
1660221921.1702685,3,1660221921,168015956,,59.299963511643575,18.730872136945663,1.0,0.0
1660221922.17751,4,1660221922,176501035,,59.29996247969772,18.730873707486353,1.0,0.0
1660221923.169054,5,1660221923,167876958,,59.29996149530583,18.730872086931186,1.0,0.0
1660221924.1687508,6,1660221924,167574882,,59.2999593128514,18.73085318111407,1.0,0.0
1660221925.1712499,7,1660221925,169025897,,59.29995952187936,18.730848371313414,1.0,0.0
1660221926.171443,8,1660221926,169621944,,59.299960864128536,18.73087872373378,1.0,0.0
1660221927.1765308,9,1660221927,175755023,,59.29995802870039,18.730881457618807,1.0,0.0
1660221928.1807146,10,1660221928,180428981,,59.299959066911285,18.73090221998575,1.0,0.0
1660221929.1666486,11,1660221929,166112899,,59.29995772954342,18.730870469086085,1.0,0.0
1660221930.1686869,12,1660221930,167865991,,59.29995563021101,18.730878662315035,1.0,0.0
1660221931.1688275,13,1660221931,168598890,,59.299958223589904,18.730894619216656,1.0,0.0
1660221932.1637318,14,1660221932,162779092,,59.29995971389007,18.730909795486127,1.0,0.0
1660221933.1642609,15,1660221933,163130044,,59.299956452678515,18.730896678597674,1.0,0.0
1660221934.171109,16,1660221934,170953989,,59.299958187275394,18.7309248139062,1.0,0.0
1660221935.1691306,17,1660221935,168359994,,59.299957775857635,18.730922620390402,1.0,0.0
1660221936.1680644,18,1660221936,166841030,,59.299956947661954,18.73092161738566,1.0,0.0
1660221937.170042,19,1660221937,167983055,,59.29995595760332,18.730919013287235,1.0,0.0
1660221938.1705046,20,1660221938,169821023,,59.29995728970569,18.730932332360567,1.0,0.0
1660221939.1670513,21,1660221939,165735006,,59.29995963136418,18.730939806291985,1.0,0.0
1660221940.1722548,22,1660221940,170332908,,59.299961937867586,18.730944684651377,1.0,0.0
1660221941.1714902,23,1660221941,170137882,,59.299965547299635,18.730959444499945,1.0,0.0
1660221942.174302,24,1660221942,173196077,,59.29996456639162,18.7309630877387,1.0,0.0
1660221943.168534,25,1660221943,167965888,,59.29996137461123,18.73094471357024,1.0,0.0
1660221944.1662545,26,1660221944,164761066,,59.29996804834905,18.73095489848015,1.0,0.0
1660221945.1702433,27,1660221945,169656038,,59.299962799538925,18.73093482738659,1.0,0.0
1660221946.170316,28,1660221946,169158935,,59.29996060256637,18.73092795669072,1.0,0.0
1660221947.1690166,29,1660221947,168698072,,59.299960906624264,18.730925964521816,1.0,0.0
1660221948.1730728,30,1660221948,169812917,,59.29996160048645,18.73092638633625,1.0,0.0
1660221949.1736832,31,1660221949,171855926,,59.29996221366048,18.730925896141798,1.0,0.0
1660221950.1687486,32,1660221950,166862010,,59.29996346071454,18.73093003767042,1.0,0.0
1660221951.1771567,33,1660221951,172724008,,59.29996218154124,18.730930504057255,1.0,0.0
1660221952.1796458,34,1660221952,178777933,,59.29996282078646,18.730945492408637,1.0,0.0
1660221953.1678565,35,1660221953,166332006,,59.29996058052381,18.730953925046947,1.0,0.0
1660221954.1660748,36,1660221954,165050983,,59.29996229225783,18.730934032858386,1.0,0.0
1660221955.165284,37,1660221955,164664030,,59.29996503568228,18.730945584277038,1.0,0.0
1660221956.169752,38,1660221956,168849945,,59.29996237259517,18.730951320050053,1.0,0.0
1660221957.177138,39,1660221957,174943923,,59.29995967444906,18.73095400984971,1.0,0.0
1660221958.1756315,40,1660221958,171077966,,59.29995781160115,18.730924830901586,1.0,0.0
1660221959.1731539,41,1660221959,170828104,,59.29995679194204,18.730919941191132,1.0,0.0
1660221960.1687627,42,1660221960,166805982,,59.299956880352134,18.730924596694877,1.0,0.0
1660221961.1732135,43,1660221961,171087026,,59.29996022955625,18.73093067314562,1.0,0.0
1660221962.1732054,44,1660221962,171489953,,59.29996090240966,18.730932294245804,1.0,0.0
1660221963.170102,45,1660221963,169487953,,59.299962252056204,18.73093423433602,1.0,0.0
1660221964.1748657,46,1660221964,174104928,,59.29996328294917,18.730942293312182,1.0,0.0
1660221965.1700273,47,1660221965,168781995,,59.29996465370935,18.73094793324492,1.0,0.0
1660221966.1689446,48,1660221966,167589902,,59.29996565520832,18.730955011697233,1.0,0.0
1660221967.1817024,49,1660221967,178982973,,59.299963137716624,18.730960562006544,1.0,0.0
1660221968.1787775,50,1660221968,178330898,,59.29996733457286,18.730983138225838,1.0,0.0
1660221969.1735947,51,1660221969,171998023,,59.29996595775703,18.73098747847655,1.0,0.0
1660221970.170703,52,1660221970,168446063,,59.29996349188972,18.730973869973695,1.0,0.0
1660221971.179609,53,1660221971,178599119,,59.299963286436096,18.730980005216338,1.0,0.0
1660221972.1719465,54,1660221972,169708013,,59.29996537624525,18.730982188322514,1.0,0.0
1660221973.1697896,55,1660221973,167695999,,59.29996622335164,18.730994234394075,1.0,0.0
1660221974.1872272,56,1660221974,185992002,,59.29996702144675,18.730995860184635,1.0,0.0
1660221975.1704175,57,1660221975,169087886,,59.29996635608429,18.730997831933564,1.0,0.0
1660221976.1728282,58,1660221976,170820951,,59.29996526936431,18.730974842514456,1.0,0.0
1660221977.1741438,59,1660221977,172802925,,59.29997133527362,18.730989707907952,1.0,0.0
1660221978.1672244,60,1660221978,165630102,,59.29997994976558,18.73102914717765,1.0,0.0
1660221979.1675217,61,1660221979,166313886,,59.29998366436718,18.731040583242134,1.0,0.0
1660221980.171713,62,1660221980,170905113,,59.29999123109898,18.73106315428754,1.0,0.0
1660221981.1650777,63,1660221981,164160966,,59.29999618442733,18.73107991525353,1.0,0.0
