Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,lat,lon,sample
1660221921.168796,14,1660221921,148292064,,59.299963511643575,18.730872136945663,2.2814787793357936
1660221922.1748536,15,1660221922,149255990,,59.29996247969772,18.730873707486353,2.2732521545561557
1660221923.1683996,16,1660221923,148314952,,59.29996149530583,18.730872086931186,2.2879652862275104
1660221924.1684532,17,1660221924,149246931,,59.2999593128514,18.73085318111407,2.3583494575556947
1660221925.169477,18,1660221925,148242950,,59.29995952187936,18.730848371313414,2.3527188886492723
1660221926.1675189,19,1660221926,148612022,,59.299960864128536,18.73087872373378,2.24621741309162
1660221927.173981,20,1660221927,148613929,,59.29995802870039,18.730881457618807,2.2321582859703413
1660221928.1800783,21,1660221928,148526906,,59.299959066911285,18.73090221998575,2.14626502974679
1660221929.1658525,22,1660221929,148552894,,59.29995772954342,18.730870469086085,2.305084288248741
1660221930.1668215,23,1660221930,148929119,,59.29995563021101,18.730878662315035,2.2558422350348946
1660221931.1680737,24,1660221931,149205923,,59.299958223589904,18.730894619216656,2.1718177659551205
1660221932.1620946,25,1660221932,148067951,,59.29995971389007,18.730909795486127,2.124351241094466
1660221933.1630127,26,1660221933,148241043,,59.299956452678515,18.730896678597674,2.168095408237819
1660221934.170707,27,1660221934,148179054,,59.299958187275394,18.7309248139062,2.322058408731553
1660221935.1672692,28,1660221935,148164987,,59.299957775857635,18.730922620390402,2.2766157705086516
1660221936.167992,29,1660221936,148210048,,59.299956947661954,18.73092161738566,2.2549898752467086
1660221937.1666682,30,1660221937,148524999,,59.29995595760332,18.730919013287235,2.204256246541202
1660221938.17193,31,1660221938,149801015,,59.29995728970569,18.730932332360567,2.473791716398752
1660221939.1655185,32,1660221939,148405075,,59.29995963136418,18.730939806291985,2.635028580377835
1660221940.1695223,33,1660221940,148627996,,59.299961937867586,18.730944684651377,2.7384509398061665
1660221941.1686933,34,1660221941,149055004,,59.299965547299635,18.730959444499945,3.041504418259924
1660221942.1724637,35,1660221942,148578882,,59.29996456639162,18.7309630877387,3.107305712312296
1660221943.16757,36,1660221943,148196935,,59.29996137461123,18.73094471357024,2.7341588054568695
1660221944.1649806,37,1660221944,148477077,,59.29996804834905,18.73095489848015,2.9673123698319603
1660221945.1693983,38,1660221945,149161100,,59.299962799538925,18.73093482738659,2.5377488059761553
1660221946.1695926,39,1660221946,148478984,,59.29996060256637,18.73092795669072,2.39052427811518
1660221947.168367,40,1660221947,148838043,,59.299960906624264,18.730925964521816,2.3478016189398865
1660221948.1703715,41,1660221948,148468971,,59.29996160048645,18.73092638633625,2.3578217991463273
1660221949.1715171,42,1660221949,148710012,,59.29996221366048,18.730925896141798,2.3456312742598673
1660221950.1662142,43,1660221950,148155927,,59.29996346071454,18.73093003767042,2.4387790705372385
1660221951.1732244,44,1660221951,150288105,,59.29996218154124,18.730930504057255,2.447537190308523
1660221952.1792405,45,1660221952,148801088,,59.29996282078646,18.730945492408637,2.757107326253287
1660221953.1653159,46,1660221953,148266077,,59.29996058052381,18.730953925046947,2.906688891885122
1660221954.1654935,47,1660221954,148149013,,59.29996229225783,18.730934032858386,2.5218795429175733
1660221955.1643107,48,1660221955,149105072,,59.29996503568228,18.730945584277038,2.7692056909683447
1660221956.1679819,49,1660221956,149260997,,59.29996237259517,18.730951320050053,2.867074524170008
1660221957.173911,50,1660221957,148211956,,59.29995967444906,18.73095400984971,2.903690456639093
1660221958.1718595,51,1660221958,148775100,,59.29995781160115,18.730924830901586,2.3208545260983704
1660221959.169903,52,1660221959,148622989,,59.29995679194204,18.730919941191132,2.222900444434424
1660221960.165758,53,1660221960,148323059,,59.299956880352134,18.730924596694877,2.316580050942498
1660221961.1698947,54,1660221961,149203062,,59.29996022955625,18.73093067314562,2.4466314785524874
1660221962.1704433,55,1660221962,148819923,,59.29996090240966,18.730932294245804,2.479902083078868
1660221963.1684482,56,1660221963,149302959,,59.299962252056204,18.73093423433602,2.5264112685211555
1660221964.1734583,57,1660221964,148380994,,59.29996328294917,18.730942293312182,2.698230299576007
1660221965.1682239,58,1660221965,149442911,,59.29996465370935,18.73094793324492,2.8109940081351192
1660221966.1679635,59,1660221966,148726940,,59.29996565520832,18.730955011697233,2.955843186703227
1660221967.1781166,60,1660221967,148374080,,59.299963137716624,18.730960562006544,3.048261258822311
1660221968.178668,61,1660221968,147998094,,59.29996733457286,18.730983138225838,3.3571188649754355
1660221969.1710389,62,1660221969,148781061,,59.29996595775703,18.73098747847655,3.380911322603094
1660221970.1673374,63,1660221970,149275064,,59.29996349188972,18.730973869973695,3.2464968176612095
1660221971.1772206,64,1660221971,148680925,,59.299963286436096,18.730980005216338,3.2955725678735583
1660221972.1698868,65,1660221972,148251056,,59.29996537624525,18.730982188322514,3.332890207969719
1660221973.1670346,66,1660221973,148519039,,59.29996622335164,18.730994234394075,3.4403862082181993
1660221974.1852448,67,1660221974,148701906,,59.29996702144675,18.730995860184635,3.4637478657946374
1660221975.1678867,68,1660221975,149105072,,59.29996635608429,18.730997831933564,3.4716800879071825
1660221976.1703095,69,1660221976,148473024,,59.29996526936431,18.730974842514456,3.269381158970195
1660221977.1716306,70,1660221977,148417949,,59.29997133527362,18.730989707907952,3.4553554234107087
1660221978.1647499,71,1660221978,148833990,,59.29997994976558,18.73102914717765,3.861913683051912
1660221979.168274,72,1660221979,148582935,,59.29998366436718,18.731040583242134,3.937321459757405
1660221980.1695087,73,1660221980,148175954,,59.29999123109898,18.73106315428754,4.102861461291439
1660221981.1637022,74,1660221981,148566961,,59.29999618442733,18.73107991525353,4.212057941699561
1660221982.164669,75,1660221982,148359060,,59.3000014841335,18.731093558678708,4.246441966428911
1660221983.1675713,76,1660221983,148665904,,59.300001774874545,18.73109017199249,4.24435564508874
