Time,latitude,longitude,altitude
1660221918.9435897,59.29994206727981,18.730884610038174,32.06535681649102
1660221918.94365,59.29994474685533,18.730875142119885,32.07389192419163
1660221918.9437056,59.299948766420385,18.730861172397,32.08766715481038
1660221918.9437687,59.29995139678023,18.73085186906144,32.10050561395678
1660221918.9439,59.2999539191104,18.73084301921915,32.11503452767052
1660221918.9439673,59.29995384249339,18.730842484044615,32.124716107298504
1660221918.9440207,59.299952341921895,18.73084642552908,32.12851001647274
1660221918.944098,59.29995076832492,18.73085019648454,32.13479858282879
1660221918.9441428,59.299949180302725,18.730853938059226,32.13803871022907
1660221918.9442108,59.299948355525686,18.73085531333379,32.14797106784921
1660221918.9442925,59.299947426775844,18.730857195268527,32.15650895472398
1660221918.944384,59.29994664155437,18.730859225600852,32.162556146922306
1660221918.944546,59.299945783866214,18.73086238987912,32.16907713366007
1660221918.9446657,59.299945484052124,18.730866354440877,32.17158742642972
1660221918.9448428,59.29994605743759,18.730868945250563,32.176013474242616
1660221918.9449868,59.299947210957356,18.730870302173344,32.179594624580545
1660221918.945149,59.29994904400747,18.73087057421219,32.17947422571574
1660221918.9453247,59.299951120628506,18.730870009631644,32.17869555404576
1660221918.9454064,59.299956055925485,18.730867130353204,32.16657017970305
1660221918.9455168,59.2999594599452,18.730865014427536,32.157607961629175
1660221918.9455845,59.29996385304884,18.73086174525497,32.142811002859005
1660221918.945643,59.29996741990173,18.730858466519862,32.12979595342129
1660221918.9456859,59.29996879995002,18.730857361828953,32.12404233530659
1660221918.945726,59.29996950412546,18.730856978241036,32.12262580603367
1660221918.9458282,59.29996976282754,18.7308578223724,32.126416414106814
1660221918.9458923,59.29997006752474,18.730858599168982,32.13285988031578
1660221918.94593,59.29997046574516,18.730857067092074,32.139822688578946
1660221918.9459937,59.29996982861812,18.73085235870417,32.136833342792144
1660221918.9460602,59.29996924611901,18.73084952934596,32.13295120641335
1660221918.9461112,59.299968424921786,18.73084655469097,32.125360185809285
1660221918.9462116,59.29996826201293,18.73084558812684,32.12143112429967
1660221918.9463098,59.29996855201688,18.730845600890234,32.11990876204685
1660221918.9463716,59.29996897586853,18.73084597094794,32.12004210004945
1660221918.9464743,59.29996947804155,18.73084632330142,32.11966272554439
1660221918.946641,59.299970118597564,18.730846862383487,32.12002220730331
1660221918.9467363,59.299970601508946,18.73084748474639,32.12159440173403
1660221918.9468246,59.29997099687824,18.730847997100227,32.120494511911765
1660221918.9469364,59.2999710365874,18.73084890727864,32.124085761579956
1660221918.9470124,59.29997094774552,18.730849303497735,32.12826085070379
1660221918.9471266,59.299970863314726,18.73084884135153,32.13301924511692
1660221918.947204,59.29997094128008,18.7308485151151,32.13361213246102
1660221918.9475875,59.299971082692075,18.73084822942269,32.13225120960202
1660221918.9476573,59.29997074012357,18.730847956932166,32.13286064399089
1660221918.9477315,59.29997018644418,18.730848124777026,32.13355919525756
1660221918.947933,59.299968781918906,18.730849325413033,32.13901049042698
1660221918.9480164,59.29996821101292,18.730850036703487,32.14106892839618
1660221918.9481394,59.299968457891914,18.730849746196327,32.13971416329832
1660221918.9482868,59.29996922726118,18.730848556364208,32.135536952626786
1660221918.9483728,59.29996972552908,18.730847748922088,32.13247648698705
1660221918.9484866,59.299969872896256,18.730847565434715,32.13175222486059
1660221918.948601,59.29996963080854,18.730848515039042,32.135144806898374
1660221918.9487548,59.299969281312606,18.730850063974117,32.14329438391438
1660221918.9488235,59.29996934844734,18.73085034898088,32.14941387972783
